C1, 35.12, 73.50, 180.00, 0.1u, C1206
C11, 12.79, 24.26, 0.00, 800n, C1812
C13, 47.07, 17.47, 180.00, 220u, C1210
C19, 21.15, 29.23, 270.00, 5p, C1206
C2, 14.29, 66.85, 0.00, 1u, C1206
C20, 25.85, 26.71, 270.00, 0.1u, C1206
C3, 25.35, 66.77, 270.00, 1u, C1206
R1, 29.80, 73.24, 270.00, 100, M1206
R2, 42.80, 64.78, 90.00, 1k, M1206
R3, 12.80, 73.40, 270.00, 670, M1206
R4, 18.52, 63.80, 180.00, 10k, M1206
R5, 23.94, 73.75, 180.00, 1.5k, M1206
U$1, 34.04, 68.15, 0.00, FS312F-G, SOT23-6
U$2, 37.93, 65.81, 0.00, BLM2010E, TSSOP8
U$3, 20.15, 67.95, 270.00, BQ21040M, SOT23-6
